,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1550326,6/30/2017 21:03,6/30/2017 21:27,1479,Streeter Dr & Grand Ave,Wacker Dr & Washington St,Customer,,
1549025,6/30/2017 19:08,6/30/2017 19:19,630,Sedgwick St & Webster Ave,Southport Ave & Wellington Ave,Subscriber,Male,1988
1549398,6/30/2017 19:36,6/30/2017 19:54,1079,Michigan Ave & Congress Pkwy,Dearborn St & Erie St,Subscriber,Female,1989
1548960,6/30/2017 19:04,6/30/2017 19:17,791,Ashland Ave & Grand Ave,Damen Ave & Pierce Ave,Subscriber,Male,1988
1549011,6/30/2017 19:07,6/30/2017 19:15,441,Lakeview Ave & Fullerton Pkwy,Clark St & Lincoln Ave,Subscriber,Male,1989
1550692,6/30/2017 21:43,6/30/2017 21:49,354,Lincoln Ave & Belle Plaine Ave,Damen Ave & Sunnyside Ave,Subscriber,Male,1979
1549088,6/30/2017 19:11,6/30/2017 19:35,1411,Sheridan Rd & Lawrence Ave,Lake Shore Dr & Belmont Ave,Subscriber,Male,1981
1549085,6/30/2017 19:11,6/30/2017 19:25,819,McClurg Ct & Erie St,Lake Shore Dr & North Blvd,Subscriber,Female,1985
1549740,6/30/2017 20:05,6/30/2017 20:20,913,Clifton Ave & Armitage Ave,Wells St & Elm St,Subscriber,Female,1992
1549772,6/30/2017 20:08,6/30/2017 20:17,508,Halsted St & Blackhawk St (*),Wells St & Elm St,Subscriber,Male,1982
1550256,6/30/2017 20:55,6/30/2017 20:59,247,May St & Taylor St,Halsted St & Roosevelt Rd,Subscriber,Male,1991
1550397,6/30/2017 21:10,6/30/2017 21:14,250,Wells St & Polk St,Clinton St & Polk St (*),Subscriber,Male,1987
1550011,6/30/2017 20:29,6/30/2017 20:44,891,Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,Customer,,
1551248,6/30/2017 23:10,6/30/2017 23:13,173,Southport Ave & Roscoe St,Southport Ave & Waveland Ave,Subscriber,Male,1989
1550311,6/30/2017 21:01,6/30/2017 21:16,930,Clinton St & Madison St,Loomis St & Lexington St,Subscriber,Male,1990
1551120,6/30/2017 22:52,6/30/2017 23:04,687,Albany (Kedzie) Ave & Montrose Ave,California Ave & Byron St,Subscriber,Male,1979
1550150,6/30/2017 20:43,6/30/2017 20:53,622,Daley Center Plaza,Federal St & Polk St,Subscriber,Male,1988
1550957,6/30/2017 22:24,6/30/2017 23:26,3703,Damen Ave & Pierce Ave,Sedgwick St & Huron St,Subscriber,Male,1992
1550772,6/30/2017 21:57,6/30/2017 22:02,260,LaSalle St & Illinois St,Sedgwick St & Huron St,Subscriber,Male,1987
1550287,6/30/2017 20:57,6/30/2017 21:07,551,Montrose Harbor,Montrose Harbor,Subscriber,Female,1992
