,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
6815929,6/30/2017 23:35,6/30/2017 23:55,1200,9 Ave & W 18 St,E 53 St & 3 Ave,Subscriber,Male,1990
6816151,6/30/2017 23:52,7/1/2017 0:25,1996,Montrose Ave & Bushwick Ave,Greenpoint Ave & Manhattan Ave,Subscriber,Male,1983
6810157,6/30/2017 20:05,6/30/2017 20:14,559,Greenwich Ave & 8 Ave,Cooper Square & E 7 St,Subscriber,Male,1984
6811781,6/30/2017 20:42,6/30/2017 20:48,341,E 58 St & 1 Ave,E 75 St & 3 Ave,Customer,,
6807054,6/30/2017 19:08,6/30/2017 19:18,540,Pershing Square North,Broadway & W 41 St,Subscriber,Female,1992
6816152,6/30/2017 23:52,6/30/2017 23:59,411,Pearl St & Hanover Square,Catherine St & Monroe St,Subscriber,Male,1987
6812698,6/30/2017 21:10,6/30/2017 21:26,973,West Thames St,Water - Whitehall Plaza,Customer,,
6808763,6/30/2017 19:37,6/30/2017 20:14,2195,E 17 St & Broadway,E 47 St & 1 Ave,Subscriber,Male,1967
6812169,6/30/2017 20:53,6/30/2017 21:01,502,Berkeley Pl & 7 Ave,14 St & 7 Ave,Subscriber,Female,1973
6808680,6/30/2017 19:36,6/30/2017 19:40,243,Schermerhorn St & 3 Ave,Bergen St & Smith St,Subscriber,Male,1972
6815839,6/30/2017 23:27,6/30/2017 23:36,518,Lefferts Pl & Franklin Ave,Lewis Ave & Madison St,Subscriber,Male,1980
6814111,6/30/2017 22:03,6/30/2017 22:16,837,Lexington Ave & E 24 St,E 51 St & 1 Ave,Subscriber,Male,1981
6809510,6/30/2017 19:51,6/30/2017 19:57,394,Greenwich Ave & 8 Ave,Christopher St & Greenwich St,Subscriber,Male,1993
6815169,6/30/2017 22:48,6/30/2017 23:20,1891,Stanton St & Chrystie St,3 Ave & 14 St,Subscriber,Female,1991
6810018,6/30/2017 20:02,6/30/2017 20:14,756,W 100 St & Broadway,Amsterdam Ave & W 73 St,Subscriber,Female,1991
6807952,6/30/2017 19:23,6/30/2017 19:35,698,University Pl & E 8 St,Lispenard St & Broadway,Subscriber,Male,1943
6810661,6/30/2017 20:15,6/30/2017 20:37,1269,W 45 St & 8 Ave,W 45 St & 8 Ave,Subscriber,Male,1985
6809790,6/30/2017 19:57,6/30/2017 20:11,834,MacDougal St & Prince St,Washington St & Gansevoort St,Subscriber,Female,1954
6815963,6/30/2017 23:37,6/30/2017 23:56,1108,Fulton St & Adams St,Howard St & Centre St,Subscriber,Male,1993
6809347,6/30/2017 19:48,6/30/2017 19:52,248,W 31 St & 7 Ave,W 24 St & 7 Ave,Subscriber,Female,1967
6815479,6/30/2017 23:05,6/30/2017 23:32,1597,Plaza St West & Flatbush Ave,Metropolitan Ave & Meeker Ave,Subscriber,Male,1992
6814075,6/30/2017 22:01,6/30/2017 22:14,784,Little West St & 1 Pl,Vesey Pl & River Terrace,Subscriber,Female,1993
6809551,6/30/2017 19:52,6/30/2017 20:02,606,1 Ave & E 30 St,E 17 St & Broadway,Subscriber,Male,1981
6813701,6/30/2017 21:46,6/30/2017 21:57,654,Bergen St & Smith St,Adelphi St & Myrtle Ave,Subscriber,Female,1983
6804961,6/30/2017 18:37,6/30/2017 18:55,1099,8 Ave & W 31 St,E 7 St & Avenue A,Subscriber,Male,1983
6815557,6/30/2017 23:09,6/30/2017 23:16,380,Pershing Square North,Broadway & W 32 St,Subscriber,Male,1977
6806012,6/30/2017 18:52,6/30/2017 19:17,1483,Murray St & West St,Cadman Plaza E & Tillary St,Customer,Female,1989
6806865,6/30/2017 19:05,6/30/2017 19:11,324,Bayard St & Baxter St,Peck Slip & Front St,Subscriber,,1980
6815777,6/30/2017 23:24,6/30/2017 23:33,535,S 3 St & Bedford Ave,Union Ave & N 12 St,Subscriber,Male,1980
6807023,6/30/2017 19:08,6/30/2017 19:25,1027,Pershing Square North,E 10 St & Avenue A,Subscriber,Male,1964
6811297,6/30/2017 20:29,6/30/2017 21:02,1961,Mott St & Prince St,Lafayette St & E 8 St,Customer,,
6812617,6/30/2017 21:07,6/30/2017 21:20,800,Barrow St & Hudson St,W 26 St & 8 Ave,Subscriber,Male,1976
6811146,6/30/2017 20:26,6/30/2017 20:35,522,W 55 St & 6 Ave,W 52 St & 11 Ave,Subscriber,Female,2000
6811186,6/30/2017 20:27,6/30/2017 20:31,226,Columbia Heights & Cranberry St,Clark St & Henry St,Customer,,
6806304,6/30/2017 18:57,6/30/2017 19:02,308,E 19 St & 3 Ave,E 25 St & 1 Ave,Subscriber,Male,1960
6812597,6/30/2017 21:06,6/30/2017 21:20,793,Central Park West & W 85 St,E 89 St & York Ave,Subscriber,Male,1977
6813460,6/30/2017 21:37,6/30/2017 21:42,358,W 84 St & Broadway,W 70 St & Amsterdam Ave,Subscriber,Male,1986
6814635,6/30/2017 22:24,6/30/2017 22:29,272,Clark St & Henry St,Henry St & Atlantic Ave,Subscriber,Female,1990
6807573,6/30/2017 19:16,6/30/2017 19:23,384,Berkeley Pl & 7 Ave,10 St & 5 Ave,Subscriber,Male,1991
6811278,6/30/2017 20:29,6/30/2017 20:45,975,West St & Chambers St,Cooper Square & E 7 St,Customer,,
6806594,6/30/2017 19:01,6/30/2017 19:25,1446,6 Ave & W 33 St,E 102 St & 1 Ave,Subscriber,,
6811402,6/30/2017 20:32,6/30/2017 20:45,756,India St & Manhattan Ave,Driggs Ave & N Henry St,Subscriber,Female,1988
6810307,6/30/2017 20:08,6/30/2017 20:12,265,W 38 St & 8 Ave,W 43 St & 10 Ave,Subscriber,Male,1974
6805433,6/30/2017 18:44,6/30/2017 18:52,484,Lorimer St & Broadway,Kosciuszko St & Nostrand Ave,Subscriber,Male,1986
6809523,6/30/2017 19:51,6/30/2017 19:58,400,Greenwich Ave & 8 Ave,8 Ave & W 31 St,Subscriber,Male,1958
6808159,6/30/2017 19:27,6/30/2017 19:30,227,9 Ave & W 22 St,Greenwich Ave & 8 Ave,Subscriber,Male,1959
6815667,6/30/2017 23:16,6/30/2017 23:24,447,University Pl & E 14 St,W Broadway & Spring St,Subscriber,Female,1991
6813653,6/30/2017 21:44,6/30/2017 22:09,1494,E 33 St & 2 Ave,E 2 St & Avenue B,Subscriber,Male,1987
6811334,6/30/2017 20:30,6/30/2017 20:57,1620,E 47 St & 2 Ave,MacDougal St & Prince St,Subscriber,Male,1968
6812109,6/30/2017 20:51,6/30/2017 21:00,535,W 20 St & 11 Ave,Greenwich Ave & Charles St,Subscriber,Male,1985
6812268,6/30/2017 20:56,6/30/2017 21:03,389,Lafayette St & Jersey St,E 12 St & 3 Ave,Subscriber,Male,1978
6814993,6/30/2017 22:40,6/30/2017 22:45,295,Clinton St & Joralemon St,President St & Henry St,Subscriber,Male,1992
6814798,6/30/2017 22:31,6/30/2017 22:37,369,E 25 St & 2 Ave,E 11 St & 2 Ave,Subscriber,,
6807121,6/30/2017 19:09,6/30/2017 19:18,505,Verona Pl & Fulton St,Monroe St & Classon Ave,Subscriber,,1983
6811848,6/30/2017 20:44,6/30/2017 20:46,120,W 22 St & 10 Ave,W 22 St & 8 Ave,Subscriber,Male,1984
6806892,6/30/2017 19:06,6/30/2017 19:18,706,W 43 St & 10 Ave,E 48 St & 5 Ave,Subscriber,Female,1983
6809390,6/30/2017 19:49,6/30/2017 20:12,1368,Graham Ave & Conselyea St,DeKalb Ave & Skillman St,Subscriber,Male,1985
6814442,6/30/2017 22:15,6/30/2017 22:18,183,W 37 St & 10 Ave,11 Ave & W 41 St,Subscriber,Male,1983
6809433,6/30/2017 19:50,6/30/2017 19:54,281,Bond St & Schermerhorn St,Douglass St & 3 Ave,Subscriber,Male,1984
6809307,6/30/2017 19:47,6/30/2017 19:53,346,E 17 St & Broadway,W 21 St & 6 Ave,Subscriber,Male,1977
6807497,6/30/2017 19:15,6/30/2017 19:45,1774,3 St & 3 Ave,Brooklyn Bridge Park - Pier 2,Subscriber,Female,1989
6805160,6/30/2017 18:40,6/30/2017 18:45,317,5 Ave & E 73 St,Columbus Ave & W 72 St,Subscriber,Female,1974
6805261,6/30/2017 18:41,6/30/2017 18:56,901,University Pl & E 8 St,E 30 St & Park Ave S,Customer,,
6808814,6/30/2017 19:38,6/30/2017 19:49,634,9 Ave & W 45 St,W 34 St & 11 Ave,Customer,,
6808160,6/30/2017 19:27,6/30/2017 19:46,1134,1 Ave & E 62 St,Lexington Ave & E 24 St,Subscriber,Female,1993
6806435,6/30/2017 18:59,6/30/2017 19:03,252,E 10 St & 5 Ave,W 4 St & 7 Ave S,Subscriber,Female,1983
6812691,6/30/2017 21:10,6/30/2017 21:14,274,9 Ave & W 22 St,W 13 St & Hudson St,Subscriber,Male,1993
6815268,6/30/2017 22:54,6/30/2017 23:06,729,Center Blvd & Borden Ave,Meserole Ave & Manhattan Ave,Subscriber,Female,1987
6810829,6/30/2017 20:19,6/30/2017 20:41,1336,Cathedral Pkwy & Broadway,W 64 St & West End Ave,Subscriber,Male,1965
6808250,6/30/2017 19:29,6/30/2017 19:49,1248,8 Ave & W 33 St,W 84 St & Broadway,Subscriber,Male,1963
6808138,6/30/2017 19:26,6/30/2017 19:33,400,W 106 St & Central Park West,Columbus Ave & W 95 St,Subscriber,Male,1990
6804803,6/30/2017 18:35,6/30/2017 18:49,853,W 18 St & 6 Ave,W 37 St & 10 Ave,Subscriber,Female,1985
6805868,6/30/2017 18:50,6/30/2017 19:09,1105,E 110 St & Madison Ave,W 78 St & Broadway,Subscriber,Male,1980
6805024,6/30/2017 18:38,6/30/2017 18:56,1072,S 3 St & Bedford Ave,DeKalb Ave & Skillman St,Customer,,
6813905,6/30/2017 21:53,6/30/2017 22:16,1340,Broadway & Roebling St,Monroe St & Tompkins Ave,Subscriber,Female,1986
6809145,6/30/2017 19:44,6/30/2017 19:59,889,E 102 St & 1 Ave,East End Ave & E 86 St,Subscriber,Male,1985
6805581,6/30/2017 18:46,6/30/2017 19:01,902,1 Ave & E 30 St,Mercer St & Bleecker St,Subscriber,Female,1978
6814010,6/30/2017 21:58,6/30/2017 22:03,312,Union St & Nevins St,Pacific St & Nevins St,Subscriber,Male,1981
6805749,6/30/2017 18:49,6/30/2017 18:54,310,W 22 St & 8 Ave,W 13 St & Hudson St,Subscriber,Female,1980
6805793,6/30/2017 18:49,6/30/2017 19:07,1035,E 65 St & 2 Ave,Lexington Ave & E 24 St,Customer,,
6808627,6/30/2017 19:35,6/30/2017 19:46,658,W 84 St & Broadway,W 106 St & Central Park West,Subscriber,Male,1994
6815610,6/30/2017 23:12,6/30/2017 23:21,531,E 27 St & 1 Ave,6 Ave & W 33 St,Customer,,
6813326,6/30/2017 21:31,6/30/2017 21:35,236,W 20 St & 8 Ave,W 20 St & 11 Ave,Subscriber,Female,1994
6811357,6/30/2017 20:31,6/30/2017 20:57,1576,W 34 St & 11 Ave,W 63 St & Broadway,Customer,,
6805234,6/30/2017 18:41,6/30/2017 19:04,1403,St Marks Pl & 2 Ave,Centre St & Worth St,Customer,,
6807740,6/30/2017 19:19,6/30/2017 19:34,895,St Marks Pl & 1 Ave,Carmine St & 6 Ave,Subscriber,Male,1989
6814330,6/30/2017 22:10,6/30/2017 22:22,689,1 Ave & E 78 St,E 74 St & 1 Ave,Subscriber,Male,1978
6814433,6/30/2017 22:15,6/30/2017 22:20,278,W 41 St & 8 Ave,W 45 St & 8 Ave,Subscriber,Female,1965
6810313,6/30/2017 20:08,6/30/2017 20:23,872,E 10 St & Avenue A,Catherine St & Monroe St,Customer,,1994
6805490,6/30/2017 18:45,6/30/2017 18:49,243,W 13 St & 6 Ave,E 12 St & 3 Ave,Subscriber,Male,1996
6811559,6/30/2017 20:36,6/30/2017 21:06,1773,Lafayette St & Jersey St,Washington Park,Subscriber,Female,1984
6807295,6/30/2017 19:12,6/30/2017 19:16,269,Allen St & Rivington St,Cleveland Pl & Spring St,Subscriber,Male,1997
6810365,6/30/2017 20:09,6/30/2017 20:31,1327,South End Ave & Liberty St,Barrow St & Hudson St,Subscriber,Male,1978
6809744,6/30/2017 19:56,6/30/2017 20:00,272,Front St & Washington St,Front St & Gold St,Subscriber,Male,1963
6810150,6/30/2017 20:05,6/30/2017 20:12,429,Willoughby Ave & Hall St,Hanson Pl & Ashland Pl,Subscriber,Male,1993
6812898,6/30/2017 21:16,6/30/2017 21:20,206,E 51 St & Lexington Ave,E 52 St & 2 Ave,Subscriber,Male,1971
6814999,6/30/2017 22:40,6/30/2017 22:46,364,Hanson Pl & Ashland Pl,Washington Park,Subscriber,Male,1984
6806624,6/30/2017 19:02,6/30/2017 19:11,547,E 27 St & 1 Ave,Lafayette St & E 8 St,Subscriber,Male,1971
6811191,6/30/2017 20:27,6/30/2017 20:48,1235,Pershing Square North,Central Park West & W 85 St,Subscriber,Male,1963
6809959,6/30/2017 20:00,6/30/2017 20:36,2130,E 55 St & 3 Ave,Kent Ave & N 7 St,Subscriber,Female,1981
6804801,6/30/2017 18:35,6/30/2017 19:01,1548,Central Park West & W 68 St,12 Ave & W 40 St,Customer,,
6809000,6/30/2017 19:42,6/30/2017 19:55,792,S 5 Pl & S 4 St,Pitt St & Stanton St,Subscriber,Male,1986
6813483,6/30/2017 21:37,6/30/2017 21:42,284,Albany Ave & Fulton St,Fulton St & Utica Ave,Subscriber,Male,1993
6805950,6/30/2017 18:52,6/30/2017 18:57,350,44 Dr & Jackson Ave,9 St & 44 Rd,Subscriber,Male,1971
6811243,6/30/2017 20:28,6/30/2017 20:47,1140,12 Ave & W 40 St,Riverside Dr & W 78 St,Subscriber,Female,1990
6812245,6/30/2017 20:55,6/30/2017 21:09,844,Mott St & Prince St,Christopher St & Greenwich St,Subscriber,Male,1970
6808203,6/30/2017 19:28,6/30/2017 19:31,193,Carmine St & 6 Ave,Washington Pl & 6 Ave,Customer,Female,1988
6812752,6/30/2017 21:12,6/30/2017 21:15,215,9 Ave & W 28 St,8 Ave & W 33 St,Subscriber,Male,1978
6809471,6/30/2017 19:50,6/30/2017 20:02,734,6 Ave & W 33 St,W 13 St & 7 Ave,Subscriber,Male,1971
