,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1748956,6/30/2017 10:06,6/30/2017 10:17,650.203,Connecticut Ave & R St NW,10th & U St NW,Subscriber
1751325,6/30/2017 12:50,6/30/2017 12:54,218.092,Eastern Market Metro / Pennsylvania Ave & 7th St SE,3rd & G St SE,Subscriber
1749904,6/30/2017 11:09,6/30/2017 11:14,256.496,Jefferson Memorial,Jefferson Dr & 14th St SW,Subscriber
1750731,6/30/2017 12:05,6/30/2017 12:18,810.335,5th St & Massachusetts Ave NW,10th St & Constitution Ave NW,Customer
1749615,6/30/2017 10:49,6/30/2017 11:29,2369.573,15th & W St NW,8th & D St NW,Customer
1749644,6/30/2017 10:51,6/30/2017 11:21,1819.878,Jefferson Dr & 14th St SW,4th St & Madison Dr NW,Customer
1750189,6/30/2017 11:29,6/30/2017 12:03,2047.85,14th St & New York Ave NW,Washington & Independence Ave SW/HHS,Customer
1750202,6/30/2017 11:30,6/30/2017 11:38,440.396,10th & K St NW,10th St & Constitution Ave NW,Subscriber
1749881,6/30/2017 11:08,6/30/2017 11:12,199.923,6th St & Indiana Ave NW,10th & E St NW,Subscriber
1749324,6/30/2017 10:29,6/30/2017 10:51,1299.598,M St & Pennsylvania Ave NW,Columbus Circle / Union Station,Subscriber
1751061,6/30/2017 12:29,6/30/2017 12:33,245.418,17th St & Massachusetts Ave NW,21st & M St NW,Subscriber
1751279,6/30/2017 12:47,6/30/2017 1:42,3300.834,Washington-Lee High School / N Stafford St & Generals Way,S Four Mile Run Dr & S Shirlington Rd,Customer
1750957,6/30/2017 12:20,6/30/2017 12:52,1884.944,Jefferson Memorial,4th St & Madison Dr NW,Customer
1749684,6/30/2017 10:54,6/30/2017 11:39,2740.946,15th St & Constitution Ave NW,12th & Army Navy Dr,Customer
1751104,6/30/2017 12:32,6/30/2017 1:01,1720.092,L'Enfant Plaza / 7th & C St SW,Lincoln Memorial,Customer
1750915,6/30/2017 12:17,6/30/2017 12:38,1246.122,C & O Canal & Wisconsin Ave NW,14th & V St NW,Customer
1749111,6/30/2017 10:16,6/30/2017 10:32,991.234,North Capitol St & F St NW,North Capitol St & F St NW,Subscriber
1751081,6/30/2017 12:30,6/30/2017 12:40,595.209,Lincoln Memorial,17th St & Independence Ave SW,Customer
1750920,6/30/2017 12:17,6/30/2017 2:26,7696.214,1st & K St SE,1st & K St SE,Customer
1749340,6/30/2017 10:30,6/30/2017 10:39,503.108,8th & O St NW,14th & R St NW,Subscriber
1749253,6/30/2017 10:25,7/1/2017 12:10,6334.167,14th & Rhode Island Ave NW,New York Ave & 15th St NW,Customer
1750537,6/30/2017 11:53,6/30/2017 12:22,1721.903,4th & East Capitol St NE,10th St & Constitution Ave NW,Customer
1749046,6/30/2017 10:11,6/30/2017 10:16,303.961,Eastern Market Metro / Pennsylvania Ave & 7th St SE,14th & D St SE,Subscriber
1751392,6/30/2017 12:55,6/30/2017 1:32,2251.59,S Arlington Mill Dr & Campbell Ave,S Arlington Mill Dr & Campbell Ave,Customer
1751072,6/30/2017 12:29,6/30/2017 12:46,992.581,4th & M St SW,4th & M St SW,Subscriber
1748870,6/30/2017 10:00,6/30/2017 10:12,711.343,14th & V St NW,21st & M St NW,Subscriber
1751138,6/30/2017 12:35,6/30/2017 12:38,199.809,Eisenhower Ave & Mill Race Ln,Ballenger Ave & Dulaney St,Subscriber
1750323,6/30/2017 11:39,6/30/2017 11:46,409.753,14th & Belmont St NW,7th & T St NW,Subscriber
1748640,6/30/2017 9:46,6/30/2017 10:34,2876.759,3rd & H St NW,3rd & H St NW,Customer
1749079,6/30/2017 10:13,6/30/2017 10:33,1154.856,Barcroft Community Center,Mount Vernon Ave & Bruce St,Customer
1748807,6/30/2017 9:56,6/30/2017 10:51,3290.494,14th & Rhode Island Ave NW,Washington & Independence Ave SW/HHS,Customer
1751241,6/30/2017 12:45,6/30/2017 1:12,1655.703,15th & P St NW,15th & P St NW,Customer
1750076,6/30/2017 11:21,6/30/2017 11:42,1247.278,19th & G St NW,16th & K St NW,Subscriber
1751208,6/30/2017 12:42,6/30/2017 12:58,952.771,Franklin & S Washington St,Commerce St & Fayette St,Customer
1750970,6/30/2017 12:21,6/30/2017 12:26,284.074,Connecticut Ave & Newark St NW / Cleveland Park,Connecticut Ave & Tilden St NW,Subscriber
1748753,6/30/2017 9:53,6/30/2017 9:56,177.546,5th & K St NW,New Jersey Ave & L St NW,Subscriber
1750787,6/30/2017 12:09,6/30/2017 12:28,1179.891,6th & H St NE,16th & Harvard St NW,Subscriber
1750605,6/30/2017 11:57,6/30/2017 12:07,590.03,24th & N St NW,14th & V St NW,Subscriber
1750239,6/30/2017 11:33,6/30/2017 11:46,742.086,Massachusetts Ave & Dupont Circle NW,34th St & Wisconsin Ave NW,Customer
1748961,6/30/2017 10:06,6/30/2017 10:37,1830.426,19th St & Constitution Ave NW,8th & F St NW,Customer
1750617,6/30/2017 11:58,6/30/2017 12:12,882.183,11th & Kenyon St NW,18th & R St NW,Subscriber
1750660,6/30/2017 12:00,6/30/2017 12:08,467.839,18th St & Wyoming Ave NW,Massachusetts Ave & Dupont Circle NW,Subscriber
1751152,6/30/2017 12:37,6/30/2017 12:48,640.254,15th & P St NW,22nd & I St NW / Foggy Bottom,Subscriber
1751062,6/30/2017 12:29,6/30/2017 12:57,1691.911,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS,Customer
1751391,6/30/2017 12:55,6/30/2017 1:06,688.987,22nd & I St NW / Foggy Bottom,C & O Canal & Wisconsin Ave NW,Subscriber
1749397,6/30/2017 10:35,6/30/2017 10:41,375.138,Thomas Circle,Massachusetts Ave & Dupont Circle NW,Customer
1749598,6/30/2017 10:48,6/30/2017 11:20,1956.024,15th & W St NW,6th St & Indiana Ave NW,Customer
1750695,6/30/2017 12:02,6/30/2017 12:27,1509.323,Washington & Independence Ave SW/HHS,17th St & Independence Ave SW,Customer
1748963,6/30/2017 10:06,6/30/2017 10:19,770.166,New Hampshire Ave & 24th St NW,Wisconsin Ave & O St NW,Customer
1749516,6/30/2017 10:42,6/30/2017 10:49,435.961,Henry Bacon Dr & Lincoln Memorial Circle NW,Jefferson Dr & 14th St SW,Subscriber
1751304,6/30/2017 12:48,6/30/2017 12:54,349.53,15th & P St NW,15th & K St NW,Subscriber
1749637,6/30/2017 10:51,6/30/2017 11:19,1719.822,Jefferson Dr & 14th St SW,4th St & Madison Dr NW,Customer
1749594,6/30/2017 10:47,6/30/2017 11:03,938.016,Metro Center / 12th & G St NW,17th & K St NW,Subscriber
1750351,6/30/2017 11:42,6/30/2017 11:45,173.378,17th & Corcoran St NW,15th & P St NW,Subscriber
1751390,6/30/2017 12:55,6/30/2017 3:32,9467.92,15th & K St NW,15th & K St NW,Customer
1750128,6/30/2017 11:26,6/30/2017 11:55,1755.316,16th & Irving St NW,34th & Water St NW,Subscriber
1748651,6/30/2017 9:47,6/30/2017 10:19,1960.193,7th & E St SW,Lincoln Memorial,Customer
1750068,6/30/2017 11:21,6/30/2017 11:28,415.87,5th & F St NW,14th St & New York Ave NW,Subscriber
1748945,6/30/2017 10:05,6/30/2017 10:09,217.904,Shady Grove Metro West,King Farm Blvd & Pleasant Dr,Subscriber
